charge,line,phase,repl,compound,is_standard,was_imputed,peak_area,n_peak_area
negative,am1,e,r1,GTP,FALSE,FALSE,24172.378035027712,2.703489736122851e-5
negative,am1,e,r1,CTP,FALSE,FALSE,19444.30440943568,2.1746920108887578e-5
negative,am1,e,r1,UTP,FALSE,FALSE,76712.84063448221,8.579725874865207e-5
negative,am1,e,r1,Fructose-1 6-bisphosphate,FALSE,FALSE,243646.3430517762,2.724992082822144e-4
negative,am1,e,r1,Thiamine pyrophosphate,FALSE,FALSE,86532.65300502295,9.677994399208954e-5
negative,am1,e,r1,ATP,FALSE,FALSE,258223.49526123394,2.8880260272816523e-4
negative,am1,e,r1,Glutathione disulfide,FALSE,FALSE,889758.98059332,9.951252078597627e-4
negative,am1,e,r1,Lysine,FALSE,FALSE,213984.84560501485,2.3932516401186898e-4
negative,am1,e,r1,"NADP+",FALSE,FALSE,241586.2004172209,2.70195101313757e-4
negative,am1,e,r1,Pyridoxamine 5-phosphate,FALSE,FALSE,12249.381740342593,1.3699966863367359e-5
negative,am1,e,r1,Arginine,FALSE,FALSE,84977.33507911352,9.504044362393752e-5
negative,am1,e,r1,Ornithine,FALSE,FALSE,15547.487528033396,1.7388637929469703e-5
negative,am1,e,r1,"NADPH",FALSE,FALSE,60869.56945084517,6.80778101410279e-5
negative,am1,e,r1,Glucose-6-phosphate,FALSE,FALSE,949791.9898179633,0.001062267391401741
negative,am1,e,r1,ADP,FALSE,FALSE,1102541.88479198,0.0012331060952552424
negative,am1,e,r1,Isocitrate,FALSE,FALSE,503144975.53610235,0.5627279513718213
negative,am1,e,r1,GMP,FALSE,FALSE,265347.0422251308,2.967697278797648e-4
negative,am1,e,r1,CMP,FALSE,FALSE,310990.98260968796,3.478188733825532e-4
negative,am1,e,r1,Aconitate,FALSE,FALSE,6337184.233759062,0.0070876404907538664
negative,am1,e,r1,UDP-D-Glucose,FALSE,FALSE,3028003.2536922307,0.0033865826959354676
negative,am1,e,r1,UMP,FALSE,FALSE,807653.3373712171,9.032965249692895e-4
negative,am1,e,r1,"NAD+",FALSE,FALSE,1557201.322046809,0.00174160679811065
negative,am1,e,r1,ADP-D-Glucose,FALSE,FALSE,1788.9118488202994,2.000756737754986e-6
negative,am1,e,r1,Dihydroxyacetone phosphate,FALSE,FALSE,48212.58056376324,5.392196684879479e-5
negative,am1,e,r1,UDP-N-acetyl-glucosamine,FALSE,FALSE,1767543.3976532512,0.001976857811334406
negative,am1,e,r1,5-Aminoimidazole-4-carboxamide ribonucleotide,FALSE,FALSE,70353.13484988007,7.868442968048243e-5
negative,am1,e,r1,Glycerol-3-phosphate,FALSE,FALSE,246000.5688111002,2.7513222401927826e-4
negative,am1,e,r1,AMP,FALSE,FALSE,1227836.5463659295,0.0013732382870757192
negative,am1,e,r1,Deoxyribose phosphate,FALSE,FALSE,38988.598478989225,4.36056707623146e-5
negative,am1,e,r1,N-carbomoyl-L-aspartate,FALSE,FALSE,8727817.659417959,0.009761375329641275
negative,am1,e,r1,Tartaric acid,FALSE,FALSE,80467.64377868678,8.99967097694863e-5
negative,am1,e,r1,Malate,FALSE,FALSE,62576434.95760321,0.06998680451956017
negative,am1,e,r1,Aminoadipic acid,FALSE,FALSE,108431.25048370993,1.2127179722776483e-4
negative,am1,e,r1,Galacturonic acid,FALSE,FALSE,44467.90295476029,4.973384044006559e-5
negative,am1,e,r1,"NADH",FALSE,FALSE,44452.2720480416,4.971635850435408e-5
negative,am1,e,r1,Glutathione,FALSE,FALSE,2837195.734869201,0.0031731795429789707
negative,am1,e,r1,Aspartate,FALSE,FALSE,357366.2599631452,3.9968596157439085e-4
negative,am1,e,r1,Glutamate,FALSE,FALSE,42289179.742617406,0.04729711045291017
negative,am1,e,r1,Malonic acid,FALSE,FALSE,6393010.176287128,0.007150077402180333
negative,am1,e,r1,2-Hydroxyglutarate,FALSE,FALSE,10339987.670092296,0.011564460268337561
negative,am1,e,r1,N-Acetylaspartate,FALSE,FALSE,2646889.4455686193,0.002960336975690717
